operation_table,cargo_type,axes_count,ccd,cc,valid_from,valid_until
D,perigosa_conteinerizada,4,4.3951,237.54,,
D,perigosa_conteinerizada,5,4.9109,250.28,,
D,perigosa_conteinerizada,6,5.4859,253.27,,
D,perigosa_conteinerizada,7,5.7136,286.53,,
D,perigosa_conteinerizada,9,6.3333,301.95,,
D,perigosa_carga_geral,4,4.3951,237.54,,
D,perigosa_carga_geral,5,4.9109,250.28,,
D,perigosa_carga_geral,6,5.4859,253.27,,
D,perigosa_carga_geral,7,5.7136,286.53,,
D,perigosa_carga_geral,9,6.3333,301.95,,
D,pressurizada,5,4.6146,207.18,,
D,pressurizada,6,5.1896,210.17,,
D,pressurizada,9,6.0097,254.35,,
